TnxTime,TxnID,ItemNo,Qty,CardNum
1577836800.0,1,1111,5,8123
1577836803.0,2,3333,5,3135
1577836805.0,3,2222,6,9121
1577836806.0,4,2222,3,3135
1577836809.0,5,3333,4,9121
1577836810.0,6,4444,1,3135
1577836813.0,7,2222,6,2234
1577836813.0,8,4444,7,8123
1577836813.0,9,3333,10,5723
1577836813.0,10,2222,6,1545
1577836814.0,11,3333,1,1545
1577836816.0,12,4444,9,7896
1577836819.0,13,3333,1,1545
1577836821.0,14,3333,7,3724
1577836821.0,15,2222,6,4857
1577836824.0,16,2222,8,9121
1577836826.0,17,1111,4,8987
1577836829.0,18,4444,10,1354
1577836830.0,19,1111,9,4958
1577836831.0,20,1111,5,8987
1577836834.0,21,5555,4,5723
1577836837.0,22,5555,4,4958
1577836837.0,23,1111,6,2435
1577836838.0,24,3333,8,9121
1577836838.0,25,3333,10,3135
1577836840.0,26,4444,5,2938
1577836841.0,27,2222,9,8123
1577836844.0,28,5555,2,5723
1577836844.0,29,1111,7,2938
1577836846.0,30,4444,10,2435
1577836848.0,31,3333,10,1354
1577836850.0,32,4444,7,1354
1577836851.0,33,4444,3,4049
1577836853.0,34,3333,2,8987
1577836856.0,35,4444,2,3135
1577836857.0,36,3333,3,7896
1577836857.0,37,3333,2,9121
1577836857.0,38,4444,3,3724
1577836860.0,39,2222,4,4049
1577836861.0,40,5555,9,1545
1577836861.0,41,3333,10,8123
1577836861.0,42,4444,9,4049
1577836863.0,43,4444,8,4049
1577836863.0,44,4444,9,5723
1577836864.0,45,5555,4,4857
1577836865.0,46,3333,4,7896
1577836866.0,47,2222,9,4049
1577836867.0,48,1111,2,2938
1577836870.0,49,1111,5,1545
1577836873.0,50,4444,3,3135
1577836876.0,51,4444,10,2435
1577836879.0,52,4444,1,3135
1577836881.0,53,4444,1,5723
1577836881.0,54,5555,9,2938
1577836884.0,55,2222,6,2938
1577836884.0,56,4444,8,4857
1577836886.0,57,2222,1,2435
1577836886.0,58,2222,8,2435
1577836887.0,59,2222,4,7896
1577836890.0,60,3333,5,2234
1577836890.0,61,5555,2,2938
1577836891.0,62,2222,1,3135
1577836893.0,63,5555,1,9121
1577836894.0,64,2222,5,4958
1577836894.0,65,3333,8,2234
1577836896.0,66,5555,2,8987
1577836898.0,67,4444,8,3724
1577836898.0,68,1111,4,1545
1577836900.0,69,4444,9,3068
1577836903.0,70,5555,2,2435
1577836906.0,71,1111,9,4049
1577836907.0,72,5555,5,3724
1577836909.0,73,3333,5,4857
1577836909.0,74,2222,9,9121
1577836911.0,75,5555,1,2938
1577836911.0,76,1111,6,3135
1577836913.0,77,1111,5,8987
1577836916.0,78,1111,4,1354
1577836918.0,79,4444,10,2435
1577836919.0,80,4444,2,8123
1577836920.0,81,2222,10,5723
1577836923.0,82,1111,6,4049
1577836924.0,83,2222,6,7896
1577836927.0,84,4444,6,3135
1577836927.0,85,1111,7,8123
1577836928.0,86,3333,3,7896
1577836930.0,87,1111,2,4857
1577836932.0,88,1111,105,4857
1577836934.0,89,2222,7,8123
1577836935.0,90,2222,2,3135
1577836935.0,91,1111,6,9121
1577836935.0,92,3333,4,4958
1577836938.0,93,1111,10,7896
1577836941.0,94,4444,5,3135
1577836942.0,95,5555,5,3724
1577836945.0,96,5555,5,8987
1577836948.0,97,1111,2,4857
1577836948.0,98,1111,7,4857
1577836948.0,99,1111,4,7896
1577836948.0,100,4444,10,8987
1577836950.0,101,2222,8,1354
1577836951.0,102,1111,5,4958
1577836951.0,103,5555,7,8987
1577836952.0,104,4444,5,8987
1577836952.0,105,3333,8,4958
1577836953.0,106,2222,6,8987
1577836953.0,107,4444,5,1545
1577836956.0,108,5555,9,4958
1577836956.0,109,1111,6,9121
1577836956.0,110,1111,8,5723
1577836958.0,111,1111,10,2435
1577836959.0,112,1111,8,8987
1577836962.0,113,5555,6,3135
1577836963.0,114,2222,4,1354
1577836965.0,115,4444,3,3724
1577836968.0,116,4444,5,7896
1577836971.0,117,3333,4,8123
1577836971.0,118,4444,10,8123
1577836974.0,119,5555,2,4958
1577836976.0,120,2222,2,8123
1577836979.0,121,2222,6,2435
