TnxTime,TxnID,ItemNo,Qty,CardNum
1577836800.0,1,1111,10,4857
1577836802.0,2,3333,4,9121
1577836805.0,3,2222,9,2435
1577836808.0,4,1111,2,8987
1577836810.0,5,1111,3,8987
1577836813.0,6,2222,9,8123
1577836815.0,7,3333,4,2435
1577836815.0,8,3333,3,4857
1577836815.0,9,3333,10,1354
1577836815.0,10,3333,10,8987
1577836816.0,11,2222,6,3724
1577836818.0,12,3333,5,1545
1577836821.0,13,2222,8,3724
1577836821.0,14,4444,7,4958
1577836824.0,15,3333,6,2938
1577836826.0,16,2222,3,2435
1577836826.0,17,1111,5,3724
1577836828.0,18,5555,10,8987
1577836828.0,19,1111,9,4049
1577836829.0,20,1111,3,3068
1577836829.0,21,5555,10,1545
1577836829.0,22,3333,2,4958
1577836831.0,23,3333,4,9121
1577836832.0,24,3333,8,2234
1577836835.0,25,1111,1,4958
1577836837.0,26,4444,1,1545
1577836838.0,27,2222,1,2938
1577836838.0,28,2222,8,3724
1577836840.0,29,1111,1,9121
1577836841.0,30,2222,3,2234
1577836841.0,31,3333,2,4857
1577836843.0,32,3333,1,8123
1577836843.0,33,1111,5,5723
1577836844.0,34,2222,10,4049
1577836845.0,35,4444,4,8123
1577836846.0,36,1111,3,1354
1577836849.0,37,5555,7,4857
1577836850.0,38,3333,4,4857
1577836853.0,39,2222,4,4857
1577836856.0,40,3333,7,7896
1577836858.0,41,2222,1,2234
1577836861.0,42,2222,9,2234
1577836862.0,43,3333,3,2938
1577836864.0,44,4444,9,9121
1577836864.0,45,2222,2,2435
1577836866.0,46,3333,2,1545
1577836866.0,47,4444,1,2435
1577836866.0,48,5555,9,1545
1577836866.0,49,4444,1,4958
1577836867.0,50,1111,1,9121
1577836870.0,51,2222,4,4857
1577836873.0,52,2222,7,2938
1577836874.0,53,2222,3,4958
1577836876.0,54,3333,1,3724
1577836876.0,55,5555,1,1354
1577836878.0,56,3333,7,3724
1577836878.0,57,2222,5,8123
1577836880.0,58,2222,9,2938
1577836881.0,59,5555,8,4958
1577836884.0,60,4444,7,9121
1577836884.0,61,5555,10,7896
1577836887.0,62,3333,10,4049
1577836887.0,63,4444,3,2234
1577836887.0,64,5555,10,3135
1577836890.0,65,2222,8,3135
1577836890.0,66,4444,5,3068
1577836892.0,67,3333,5,4857
1577836895.0,68,2222,1,8987
1577836896.0,69,3333,7,1545
1577836897.0,70,3333,2,2938
1577836900.0,71,2222,3,4958
1577836901.0,72,3333,1,2435
1577836903.0,73,4444,4,1354
1577836904.0,74,1111,3,2435
1577836904.0,75,1111,10,1354
1577836905.0,76,5555,2,1354
1577836905.0,77,1111,5,3135
1577836906.0,78,5555,3,2234
1577836906.0,79,5555,5,8123
1577836907.0,80,2222,1,7896
1577836907.0,81,2222,3,3135
1577836910.0,82,1111,10,1354
1577836913.0,83,3333,3,8123
1577836913.0,84,3333,5,8987
1577836915.0,85,2222,8,7896
1577836917.0,86,5555,1,5723
1577836920.0,87,3333,7,1354
1577836921.0,88,3333,6,8123
1577836921.0,89,2222,7,3068
1577836924.0,90,2222,6,7896
1577836925.0,91,1111,7,3724
1577836927.0,92,2222,8,4857
1577836927.0,93,3333,3,7896
1577836929.0,94,1111,3,8987
1577836932.0,95,3333,1,1545
1577836933.0,96,1111,104,8123
1577836936.0,97,4444,4,4857
1577836938.0,98,1111,9,3724
1577836938.0,99,3333,4,2938
1577836938.0,100,5555,3,3724
1577836941.0,101,5555,5,4857
1577836943.0,102,3333,9,9121
1577836944.0,103,3333,1,4857
1577836945.0,104,2222,3,3724
1577836946.0,105,5555,1,2938
1577836947.0,106,2222,1,7896
1577836950.0,107,2222,7,4049
1577836952.0,108,5555,10,2234
1577836954.0,109,1111,7,4857
1577836955.0,110,1111,7,2938
1577836955.0,111,3333,6,9121
1577836957.0,112,3333,10,1354
1577836958.0,113,4444,8,8987
1577836958.0,114,5555,10,4857
1577836961.0,115,1111,6,3068
1577836962.0,116,1111,1,3135
1577836964.0,117,3333,1,7896
1577836964.0,118,5555,3,8987
1577836965.0,119,1111,3,4958
1577836966.0,120,1111,8,7896
1577836968.0,121,3333,8,8987
