TnxTime,TxnID,ItemNo,Qty,CardNum
1577836800.0,1,1111,5,1354
1577836803.0,2,4444,1,2435
1577836803.0,3,5555,9,1545
1577836804.0,4,4444,7,1545
1577836807.0,5,5555,10,2234
1577836807.0,6,3333,4,2938
1577836808.0,7,2222,9,8987
1577836810.0,8,4444,3,3135
1577836812.0,9,4444,7,2938
1577836814.0,10,3333,1,2234
1577836816.0,11,4444,6,4958
1577836816.0,12,4444,3,5723
1577836816.0,13,3333,7,2435
1577836816.0,14,4444,2,1545
1577836818.0,15,4444,2,5723
1577836819.0,16,1111,8,5723
1577836821.0,17,4444,9,4857
1577836821.0,18,2222,1,4049
1577836824.0,19,3333,3,3135
1577836824.0,20,2222,6,3724
1577836825.0,21,1111,4,2234
1577836828.0,22,1111,5,3068
1577836831.0,23,4444,6,2234
1577836832.0,24,2222,6,5723
1577836833.0,25,4444,3,2435
1577836834.0,26,3333,10,4857
1577836834.0,27,1111,7,1545
1577836837.0,28,3333,6,1545
1577836837.0,29,5555,5,2234
1577836839.0,30,3333,2,1354
1577836839.0,31,3333,10,2938
1577836839.0,32,5555,7,3068
1577836841.0,33,3333,3,4958
1577836843.0,34,4444,4,4857
1577836846.0,35,1111,7,1354
1577836847.0,36,5555,5,2234
1577836849.0,37,5555,7,8987
1577836850.0,38,3333,6,2234
1577836852.0,39,2222,7,2435
1577836852.0,40,4444,6,8123
1577836854.0,41,1111,5,3724
1577836854.0,42,5555,9,8123
1577836855.0,43,1111,2,2938
1577836858.0,44,1111,3,3068
1577836860.0,45,2222,2,3135
1577836862.0,46,2222,2,5723
1577836865.0,47,2222,2,2435
1577836866.0,48,2222,7,4857
1577836867.0,49,5555,6,8123
1577836868.0,50,4444,6,3135
1577836870.0,51,2222,4,2938
1577836872.0,52,3333,8,9121
1577836873.0,53,2222,9,3068
1577836873.0,54,2222,10,7896
1577836873.0,55,4444,108,4958
1577836875.0,56,4444,7,3724
1577836875.0,57,4444,6,3068
1577836878.0,58,1111,2,7896
1577836878.0,59,1111,4,1354
1577836880.0,60,4444,7,4049
1577836880.0,61,1111,9,1354
1577836880.0,62,4444,8,9121
1577836882.0,63,5555,5,8123
1577836885.0,64,5555,108,8987
1577836886.0,65,3333,7,1354
1577836889.0,66,3333,5,1354
1577836889.0,67,4444,5,2234
1577836891.0,68,4444,6,8987
1577836892.0,69,1111,10,8123
1577836893.0,70,3333,6,7896
1577836896.0,71,5555,8,1545
1577836898.0,72,2222,5,3135
1577836899.0,73,3333,3,3724
1577836901.0,74,4444,6,5723
1577836901.0,75,3333,4,4958
1577836904.0,76,2222,3,8123
1577836904.0,77,5555,7,8123
1577836906.0,78,3333,3,4049
1577836906.0,79,4444,3,4857
1577836908.0,80,1111,6,1354
1577836908.0,81,5555,9,2234
1577836910.0,82,4444,6,9121
1577836910.0,83,1111,5,3068
1577836913.0,84,4444,5,5723
1577836913.0,85,4444,7,4049
1577836916.0,86,4444,2,9121
1577836919.0,87,5555,3,9121
